Id,GEOID,name,homerule,hrnew
1600000US4807156,4807156,"Bee Cave city, Texas",1,1
1600000US4811224,4811224,"Bulverde city, Texas",1,1
1600000US4825168,4825168,"Fair Oaks Ranch city, Texas",1,1
1600000US4827876,4827876,"Fulshear city, Texas",1,1
1600000US4840384,4840384,"La Joya city, Texas",1,1
1600000US4842388,4842388,"Leon Valley city, Texas",1,1
1600000US4842820,4842820,"Lindale city, Texas",1,1
1600000US4846500,4846500,"Manvel city, Texas",1,1
1600000US4847496,4847496,"Melissa city, Texas",1,1
1600000US4849068,4849068,"Mont Belvieu city, Texas",1,1
1600000US4851708,4851708,"Nolanville city, Texas",1,1
1600000US4856696,4856696,"Penitas city, Texas",1,1
1600000US4857476,4857476,"Pilot Point city, Texas",1,1
1600000US4859336,4859336,"Prairie View city, Texas",1,1
1600000US4869140,4869140,"South Padre Island town, Texas",1,1
1600000US4870868,4870868,"Sullivan City city, Texas",1,1
1600000US4871156,4871156,"Sunnyvale town, Texas",1,1
1600000US4801000,4801000,"Abilene city, Texas",1,0
1600000US4801240,4801240,"Addison town, Texas",1,0
1600000US4801576,4801576,"Alamo city, Texas",1,0
1600000US4801600,4801600,"Alamo Heights city, Texas",1,0
1600000US4801852,4801852,"Alice city, Texas",1,0
1600000US4801924,4801924,"Allen city, Texas",1,0
1600000US4802104,4802104,"Alpine city, Texas",1,0
1600000US4802212,4802212,"Alton city, Texas",1,0
1600000US4802272,4802272,"Alvin city, Texas",1,0
1600000US4803000,4803000,"Amarillo city, Texas",1,0
1600000US4803216,4803216,"Andrews city, Texas",1,0
1600000US4803264,4803264,"Angleton city, Texas",1,0
1600000US4803300,4803300,"Anna city, Texas",1,0
1600000US4803372,4803372,"Anson city, Texas",1,0
1600000US4803600,4803600,"Aransas Pass city, Texas",1,0
1600000US4804000,4804000,"Arlington city, Texas",1,0
1600000US4804504,4804504,"Athens city, Texas",1,0
1600000US4804516,4804516,"Atlanta city, Texas",1,0
1600000US4805000,4805000,"Austin city, Texas",1,0
1600000US4805168,4805168,"Azle city, Texas",1,0
1600000US4805372,4805372,"Balch Springs city, Texas",1,0
1600000US4805456,4805456,"Ballinger city, Texas",1,0
1600000US4805864,4805864,"Bastrop city, Texas",1,0
1600000US4805984,4805984,"Bay City city, Texas",1,0
1600000US4806128,4806128,"Baytown city, Texas",1,0
1600000US4807000,4807000,"Beaumont city, Texas",1,0
1600000US4807132,4807132,"Bedford city, Texas",1,0
1600000US4807192,4807192,"Beeville city, Texas",1,0
1600000US4807300,4807300,"Bellaire city, Texas",1,0
1600000US4807408,4807408,"Bellmead city, Texas",1,0
1600000US4807492,4807492,"Belton city, Texas",1,0
1600000US4807552,4807552,"Benbrook city, Texas",1,0
1600000US4808236,4808236,"Big Spring city, Texas",1,0
1600000US4809160,4809160,"Boerne city, Texas",1,0
1600000US4809328,4809328,"Bonham city, Texas",1,0
1600000US4809556,4809556,"Borger city, Texas",1,0
1600000US4809640,4809640,"Bowie city, Texas",1,0
1600000US4809916,4809916,"Brady city, Texas",1,0
1600000US4810132,4810132,"Breckenridge city, Texas",1,0
1600000US4810156,4810156,"Brenham city, Texas",1,0
1600000US4810252,4810252,"Bridge City city, Texas",1,0
1600000US4810720,4810720,"Brownfield city, Texas",1,0
1600000US4810768,4810768,"Brownsville city, Texas",1,0
1600000US4810780,4810780,"Brownwood city, Texas",1,0
1600000US4810912,4810912,"Bryan city, Texas",1,0
1600000US4811080,4811080,"Buda city, Texas",1,0
1600000US4811368,4811368,"Burkburnett city, Texas",1,0
1600000US4811428,4811428,"Burleson city, Texas",1,0
1600000US4811464,4811464,"Burnet city, Texas",1,0
1600000US4812040,4812040,"Cameron city, Texas",1,0
1600000US4812532,4812532,"Canyon city, Texas",1,0
1600000US4812988,4812988,"Carrizo Springs city, Texas",1,0
1600000US4813024,4813024,"Carrollton city, Texas",1,0
1600000US4813108,4813108,"Carthage city, Texas",1,0
1600000US4813492,4813492,"Cedar Hill city, Texas",1,0
1600000US4813552,4813552,"Cedar Park city, Texas",1,0
1600000US4813684,4813684,"Celina city, Texas",1,0
1600000US4813732,4813732,"Center city, Texas",1,0
1600000US4814668,4814668,"Childress city, Texas",1,0
1600000US4814920,4814920,"Cibolo city, Texas",1,0
1600000US4815004,4815004,"Cisco city, Texas",1,0
1600000US4815364,4815364,"Cleburne city, Texas",1,0
1600000US4815436,4815436,"Cleveland city, Texas",1,0
1600000US4815652,4815652,"Clute city, Texas",1,0
1600000US4815916,4815916,"Coleman city, Texas",1,0
1600000US4815976,4815976,"College Station city, Texas",1,0
1600000US4815988,4815988,"Colleyville city, Texas",1,0
1600000US4816120,4816120,"Colorado City city, Texas",1,0
1600000US4816240,4816240,"Commerce city, Texas",1,0
1600000US4816432,4816432,"Conroe city, Texas",1,0
1600000US4816468,4816468,"Converse city, Texas",1,0
1600000US4816612,4816612,"Coppell city, Texas",1,0
1600000US4816624,4816624,"Copperas Cove city, Texas",1,0
1600000US4816696,4816696,"Corinth city, Texas",1,0
1600000US4817000,4817000,"Corpus Christi city, Texas",1,0
1600000US4817060,4817060,"Corsicana city, Texas",1,0
1600000US4817744,4817744,"Crockett city, Texas",1,0
1600000US4817960,4817960,"Crowley city, Texas",1,0
1600000US4818020,4818020,"Crystal City city, Texas",1,0
1600000US4818092,4818092,"Cuero city, Texas",1,0
1600000US4818464,4818464,"Daingerfield city, Texas",1,0
1600000US4818524,4818524,"Dalhart city, Texas",1,0
1600000US4819000,4819000,"Dallas city, Texas",1,0
1600000US4819432,4819432,"Dayton city, Texas",1,0
1600000US4819672,4819672,"De Leon city, Texas",1,0
1600000US4819528,4819528,"Decatur city, Texas",1,0
1600000US4819792,4819792,"Del Rio city, Texas",1,0
1600000US4819900,4819900,"Denison city, Texas",1,0
1600000US4819972,4819972,"Denton city, Texas",1,0
1600000US4819984,4819984,"Denver City town, Texas",1,0
1600000US4820092,4820092,"DeSoto city, Texas",1,0
1600000US4820308,4820308,"Diboll city, Texas",1,0
1600000US4820344,4820344,"Dickinson city, Texas",1,0
1600000US4820464,4820464,"Dimmitt city, Texas",1,0
1600000US4820884,4820884,"Donna city, Texas",1,0
1600000US4821556,4821556,"Dumas city, Texas",1,0
1600000US4821628,4821628,"Duncanville city, Texas",1,0
1600000US4821892,4821892,"Eagle Pass city, Texas",1,0
1600000US4822132,4822132,"Eastland city, Texas",1,0
1600000US4822660,4822660,"Edinburg city, Texas",1,0
1600000US4822720,4822720,"Edna city, Texas",1,0
1600000US4822864,4822864,"El Campo city, Texas",1,0
1600000US4824000,4824000,"El Paso city, Texas",1,0
1600000US4822984,4822984,"Electra city, Texas",1,0
1600000US4823044,4823044,"Elgin city, Texas",1,0
1600000US4824036,4824036,"Elsa city, Texas",1,0
1600000US4824348,4824348,"Ennis city, Texas",1,0
1600000US4824768,4824768,"Euless city, Texas",1,0
1600000US4824912,4824912,"Everman city, Texas",1,0
1600000US4825224,4825224,"Fairview town, Texas",1,0
1600000US4825452,4825452,"Farmers Branch city, Texas",1,0
1600000US4825572,4825572,"Fate city, Texas",1,0
1600000US4826160,4826160,"Floresville city, Texas",1,0
1600000US4826232,4826232,"Flower Mound town, Texas",1,0
1600000US4826544,4826544,"Forest Hill city, Texas",1,0
1600000US4826604,4826604,"Forney city, Texas",1,0
1600000US4827000,4827000,"Fort Worth city, Texas",1,0
1600000US4827348,4827348,"Fredericksburg city, Texas",1,0
1600000US4827420,4827420,"Freeport city, Texas",1,0
1600000US4827648,4827648,"Friendswood city, Texas",1,0
1600000US4827684,4827684,"Frisco city, Texas",1,0
1600000US4827984,4827984,"Gainesville city, Texas",1,0
1600000US4827996,4827996,"Galena Park city, Texas",1,0
1600000US4828068,4828068,"Galveston city, Texas",1,0
1600000US4829000,4829000,"Garland city, Texas",1,0
1600000US4829168,4829168,"Gatesville city, Texas",1,0
1600000US4829348,4829348,"George West city, Texas",1,0
1600000US4829336,4829336,"Georgetown city, Texas",1,0
1600000US4829432,4829432,"Giddings city, Texas",1,0
1600000US4829564,4829564,"Gilmer city, Texas",1,0
1600000US4829660,4829660,"Gladewater city, Texas",1,0
1600000US4829840,4829840,"Glenn Heights city, Texas",1,0
1600000US4830116,4830116,"Gonzales city, Texas",1,0
1600000US4830308,4830308,"Gorman city, Texas",1,0
1600000US4830392,4830392,"Graham city, Texas",1,0
1600000US4830416,4830416,"Granbury city, Texas",1,0
1600000US4830464,4830464,"Grand Prairie city, Texas",1,0
1600000US4830584,4830584,"Granite Shoals city, Texas",1,0
1600000US4830644,4830644,"Grapevine city, Texas",1,0
1600000US4830920,4830920,"Greenville city, Texas",1,0
1600000US4831328,4831328,"Groves city, Texas",1,0
1600000US4831592,4831592,"Gun Barrel City city, Texas",1,0
1600000US4831928,4831928,"Haltom City city, Texas",1,0
1600000US4832312,4832312,"Harker Heights city, Texas",1,0
1600000US4832372,4832372,"Harlingen city, Texas",1,0
1600000US4832972,4832972,"Hearne city, Texas",1,0
1600000US4832984,4832984,"Heath city, Texas",1,0
1600000US4833212,4833212,"Henderson city, Texas",1,0
1600000US4833320,4833320,"Hereford city, Texas",1,0
1600000US4833428,4833428,"Hewitt city, Texas",1,0
1600000US4833560,4833560,"Hidalgo city, Texas",1,0
1600000US4833824,4833824,"Highland Park town, Texas",1,0
1600000US4833848,4833848,"Highland Village city, Texas",1,0
1600000US4834088,4834088,"Hillsboro city, Texas",1,0
1600000US4834220,4834220,"Hitchcock city, Texas",1,0
1600000US4834676,4834676,"Hondo city, Texas",1,0
1600000US4834832,4834832,"Horizon City city, Texas",1,0
1600000US4834862,4834862,"Horseshoe Bay city, Texas",1,0
1600000US4835000,4835000,"Houston city, Texas",1,0
1600000US4835348,4835348,"Humble city, Texas",1,0
1600000US4835528,4835528,"Huntsville city, Texas",1,0
1600000US4835576,4835576,"Hurst city, Texas",1,0
1600000US4835624,4835624,"Hutto city, Texas",1,0
1600000US4836008,4836008,"Ingleside city, Texas",1,0
1600000US4836104,4836104,"Iowa Park city, Texas",1,0
1600000US4837000,4837000,"Irving city, Texas",1,0
1600000US4837156,4837156,"Jacinto City city, Texas",1,0
1600000US4837216,4837216,"Jacksonville city, Texas",1,0
1600000US4837420,4837420,"Jasper city, Texas",1,0
1600000US4837612,4837612,"Jersey Village city, Texas",1,0
1600000US4838080,4838080,"Joshua city, Texas",1,0
1600000US4838476,4838476,"Katy city, Texas",1,0
1600000US4838488,4838488,"Kaufman city, Texas",1,0
1600000US4838548,4838548,"Keene city, Texas",1,0
1600000US4838632,4838632,"Keller city, Texas",1,0
1600000US4838896,4838896,"Kennedale city, Texas",1,0
1600000US4839004,4839004,"Kermit city, Texas",1,0
1600000US4839040,4839040,"Kerrville city, Texas",1,0
1600000US4839124,4839124,"Kilgore city, Texas",1,0
1600000US4839148,4839148,"Killeen city, Texas",1,0
1600000US4839352,4839352,"Kingsville city, Texas",1,0
1600000US4839448,4839448,"Kirby city, Texas",1,0
1600000US4839952,4839952,"Kyle city, Texas",1,0
1600000US4840204,4840204,"La Feria city, Texas",1,0
1600000US4840276,4840276,"La Grange city, Texas",1,0
1600000US4841116,4841116,"La Marque city, Texas",1,0
1600000US4840168,4840168,"Lacy-Lakeview city, Texas",1,0
1600000US4840262,4840262,"Lago Vista CDP, Texas",1,0
1600000US4840516,4840516,"Lake Dallas city, Texas",1,0
1600000US4840588,4840588,"Lake Jackson city, Texas",1,0
1600000US4841056,4841056,"Lake Worth city, Texas",1,0
1600000US4840984,4840984,"Lakeway city, Texas",1,0
1600000US4841164,4841164,"Lamesa city, Texas",1,0
1600000US4841188,4841188,"Lampasas city, Texas",1,0
1600000US4841212,4841212,"Lancaster city, Texas",1,0
1600000US4841464,4841464,"Laredo city, Texas",1,0
1600000US4841980,4841980,"League City city, Texas",1,0
1600000US4842016,4842016,"Leander city, Texas",1,0
1600000US4842448,4842448,"Levelland city, Texas",1,0
1600000US4842508,4842508,"Lewisville city, Texas",1,0
1600000US4842568,4842568,"Liberty city, Texas",1,0
1600000US4843012,4843012,"Little Elm city, Texas",1,0
1600000US4843024,4843024,"Littlefield city, Texas",1,0
1600000US4843096,4843096,"Live Oak city, Texas",1,0
1600000US4843240,4843240,"Lockhart city, Texas",1,0
1600000US4843888,4843888,"Longview city, Texas",1,0
1600000US4844116,4844116,"Los Fresnos city, Texas",1,0
1600000US4845000,4845000,"Lubbock city, Texas",1,0
1600000US4845012,4845012,"Lucas city, Texas",1,0
1600000US4845072,4845072,"Lufkin city, Texas",1,0
1600000US4845096,4845096,"Luling city, Texas",1,0
1600000US4845120,4845120,"Lumberton city, Texas",1,0
1600000US4846440,4846440,"Manor city, Texas",1,0
1600000US4846452,4846452,"Mansfield city, Texas",1,0
1600000US4846584,4846584,"Marble Falls city, Texas",1,0
1600000US4846740,4846740,"Marlin city, Texas",1,0
1600000US4846776,4846776,"Marshall city, Texas",1,0
1600000US4847040,4847040,"Mathis city, Texas",1,0
1600000US4845384,4845384,"McAllen city, Texas",1,0
1600000US4845672,4845672,"McGregor city, Texas",1,0
1600000US4845744,4845744,"McKinney city, Texas",1,0
1600000US4847700,4847700,"Mercedes city, Texas",1,0
1600000US4847898,4847898,"Mesquite CDP, Texas",1,0
1600000US4847916,4847916,"Mexia city, Texas",1,0
1600000US4848096,4848096,"Midlothian city, Texas",1,0
1600000US4848684,4848684,"Mineral Wells city, Texas",1,0
1600000US4848768,4848768,"Mission city, Texas",1,0
1600000US4848804,4848804,"Missouri City city, Texas",1,0
1600000US4848936,4848936,"Monahans city, Texas",1,0
1600000US4849800,4849800,"Mount Pleasant city, Texas",1,0
1600000US4849968,4849968,"Muleshoe city, Texas",1,0
1600000US4850100,4850100,"Murphy city, Texas",1,0
1600000US4850256,4850256,"Nacogdoches city, Texas",1,0
1600000US4850376,4850376,"Nassau Bay city, Texas",1,0
1600000US4850472,4850472,"Navasota city, Texas",1,0
1600000US4850580,4850580,"Nederland city, Texas",1,0
1600000US4850820,4850820,"New Braunfels city, Texas",1,0
1600000US4852356,4852356,"North Richland Hills city, Texas",1,0
1600000US4853388,4853388,"Odessa city, Texas",1,0
1600000US4854000,4854000,"Olney city, Texas",1,0
1600000US4854132,4854132,"Orange city, Texas",1,0
1600000US4854684,4854684,"Palacios city, Texas",1,0
1600000US4854708,4854708,"Palestine city, Texas",1,0
1600000US4854912,4854912,"Pampa city, Texas",1,0
1600000US4855080,4855080,"Paris city, Texas",1,0
1600000US4856000,4856000,"Pasadena city, Texas",1,0
1600000US4856348,4856348,"Pearland city, Texas",1,0
1600000US4856384,4856384,"Pearsall city, Texas",1,0
1600000US4856516,4856516,"Pecos city, Texas",1,0
1600000US4857176,4857176,"Pflugerville city, Texas",1,0
1600000US4857200,4857200,"Pharr city, Texas",1,0
1600000US4857908,4857908,"Pittsburg city, Texas",1,0
1600000US4857980,4857980,"Plainview city, Texas",1,0
1600000US4858016,4858016,"Plano city, Texas",1,0
1600000US4858280,4858280,"Pleasanton city, Texas",1,0
1600000US4858808,4858808,"Port Aransas city, Texas",1,0
1600000US4858820,4858820,"Port Arthur city, Texas",1,0
1600000US4858892,4858892,"Port Isabel city, Texas",1,0
1600000US4858916,4858916,"Port Lavaca city, Texas",1,0
1600000US4858940,4858940,"Port Neches city, Texas",1,0
1600000US4858904,4858904,"Portland city, Texas",1,0
1600000US4859696,4859696,"Prosper town, Texas",1,0
1600000US4860044,4860044,"Quanah city, Texas",1,0
1600000US4860632,4860632,"Ranger city, Texas",1,0
1600000US4860836,4860836,"Raymondville city, Texas",1,0
1600000US4861196,4861196,"Red Oak city, Texas",1,0
1600000US4861796,4861796,"Richardson city, Texas",1,0
1600000US4861844,4861844,"Richland Hills city, Texas",1,0
1600000US4862168,4862168,"Rio Grande City city, Texas",1,0
1600000US4862384,4862384,"River Oaks city, Texas",1,0
1600000US4862504,4862504,"Roanoke city, Texas",1,0
1600000US4862588,4862588,"Robinson city, Texas",1,0
1600000US4862600,4862600,"Robstown city, Texas",1,0
1600000US4862672,4862672,"Rockdale city, Texas",1,0
1600000US4862804,4862804,"Rockport city, Texas",1,0
1600000US4862828,4862828,"Rockwall city, Texas",1,0
1600000US4863020,4863020,"Roma city, Texas",1,0
1600000US4863284,4863284,"Rosenberg city, Texas",1,0
1600000US4863500,4863500,"Round Rock city, Texas",1,0
1600000US4863572,4863572,"Rowlett city, Texas",1,0
1600000US4863668,4863668,"Royse City city, Texas",1,0
1600000US4863848,4863848,"Rusk city, Texas",1,0
1600000US4864064,4864064,"Sachse city, Texas",1,0
1600000US4864112,4864112,"Saginaw city, Texas",1,0
1600000US4864472,4864472,"San Angelo city, Texas",1,0
1600000US4865000,4865000,"San Antonio city, Texas",1,0
1600000US4865036,4865036,"San Benito city, Texas",1,0
1600000US4865516,4865516,"San Juan city, Texas",1,0
1600000US4865600,4865600,"San Marcos city, Texas",1,0
1600000US4865408,4865408,"Sanger city, Texas",1,0
1600000US4865726,4865726,"Santa Fe city, Texas",1,0
1600000US4866128,4866128,"Schertz city, Texas",1,0
1600000US4866392,4866392,"Seabrook city, Texas",1,0
1600000US4866428,4866428,"Seagoville city, Texas",1,0
1600000US4866464,4866464,"Sealy city, Texas",1,0
1600000US4866644,4866644,"Seguin city, Texas",1,0
1600000US4866764,4866764,"Seminole city, Texas",1,0
1600000US4867496,4867496,"Sherman city, Texas",1,0
1600000US4867832,4867832,"Silsbee city, Texas",1,0
1600000US4868036,4868036,"Sinton city, Texas",1,0
1600000US4868180,4868180,"Slaton city, Texas",1,0
1600000US4868624,4868624,"Snyder city, Texas",1,0
1600000US4868636,4868636,"Socorro city, Texas",1,0
1600000US4869032,4869032,"Southlake city, Texas",1,0
1600000US4869908,4869908,"Stafford city, Texas",1,0
1600000US4869980,4869980,"Stamford city, Texas",1,0
1600000US4870208,4870208,"Stephenville city, Texas",1,0
1600000US4870808,4870808,"Sugar Land city, Texas",1,0
1600000US4870904,4870904,"Sulphur Springs city, Texas",1,0
1600000US4871492,4871492,"Sweeny city, Texas",1,0
1600000US4871540,4871540,"Sweetwater city, Texas",1,0
1600000US4871948,4871948,"Taylor city, Texas",1,0
1600000US4872176,4872176,"Temple city, Texas",1,0
1600000US4872284,4872284,"Terrell city, Texas",1,0
1600000US4872296,4872296,"Terrell Hills city, Texas",1,0
1600000US4872368,4872368,"Texarkana city, Texas",1,0
1600000US4872392,4872392,"Texas City city, Texas",1,0
1600000US4872530,4872530,"The Colony city, Texas",1,0
1600000US4873316,4873316,"Tomball city, Texas",1,0
1600000US4873710,4873710,"Trophy Club town, Texas",1,0
1600000US4873868,4873868,"Tulia city, Texas",1,0
1600000US4874144,4874144,"Tyler city, Texas",1,0
1600000US4874408,4874408,"Universal City city, Texas",1,0
1600000US4874492,4874492,"University Park city, Texas",1,0
1600000US4874588,4874588,"Uvalde city, Texas",1,0
1600000US4875308,4875308,"Vernon city, Texas",1,0
1600000US4875428,4875428,"Victoria city, Texas",1,0
1600000US4875476,4875476,"Vidor city, Texas",1,0
1600000US4876000,4876000,"Waco city, Texas",1,0
1600000US4876096,4876096,"Wake Village city, Texas",1,0
1600000US4876672,4876672,"Watauga city, Texas",1,0
1600000US4876816,4876816,"Waxahachie city, Texas",1,0
1600000US4876864,4876864,"Weatherford city, Texas",1,0
1600000US4876948,4876948,"Webster city, Texas",1,0
1600000US4877272,4877272,"Weslaco city, Texas",1,0
1600000US4877752,4877752,"West Orange city, Texas",1,0
1600000US4877956,4877956,"West University Place city, Texas",1,0
1600000US4878136,4878136,"Wharton city, Texas",1,0
1600000US4878436,4878436,"White Oak city, Texas",1,0
1600000US4878544,4878544,"White Settlement city, Texas",1,0
1600000US4878388,4878388,"Whitehouse city, Texas",1,0
1600000US4879000,4879000,"Wichita Falls city, Texas",1,0
1600000US4879408,4879408,"Willis city, Texas",1,0
1600000US4879672,4879672,"Windcrest city, Texas",1,0
1600000US4880224,4880224,"Woodway city, Texas",1,0
1600000US4880356,4880356,"Wylie city, Texas",1,0
1600000US4880560,4880560,"Yoakum city, Texas",1,0
1600000US4800100,4800100,"Abbott city, Texas",0,0
1600000US4800160,4800160,"Abernathy city, Texas",0,0
1600000US4801060,4801060,"Abram CDP, Texas",0,0
1600000US4801108,4801108,"Ackerly city, Texas",0,0
1600000US4801324,4801324,"Adrian city, Texas",0,0
1600000US4801390,4801390,"Agua Dulce CDP, Texas",0,0
1600000US4801396,4801396,"Agua Dulce city, Texas",0,0
1600000US4801420,4801420,"Aguilares CDP, Texas",0,0
1600000US4801500,4801500,"Airport Heights CDP, Texas",0,0
1600000US4801514,4801514,"Airport Road Addition CDP, Texas",0,0
1600000US4801636,4801636,"Alba town, Texas",0,0
1600000US4801648,4801648,"Albany city, Texas",0,0
1600000US4801696,4801696,"Aldine CDP, Texas",0,0
1600000US4801744,4801744,"Aledo city, Texas",0,0
1600000US4801816,4801816,"Alfred CDP, Texas",0,0
1600000US4801858,4801858,"Alice Acres CDP, Texas",0,0
1600000US4802044,4802044,"Alma town, Texas",0,0
1600000US4802194,4802194,"Alto Bonito Heights CDP, Texas",0,0
1600000US4802188,4802188,"Alto town, Texas",0,0
1600000US4802260,4802260,"Alvarado city, Texas",0,0
1600000US4802284,4802284,"Alvord town, Texas",0,0
1600000US4802286,4802286,"Amada Acres CDP, Texas",0,0
1600000US4802290,4802290,"Amargosa CDP, Texas",0,0
1600000US4803008,4803008,"Amaya CDP, Texas",0,0
1600000US4803072,4803072,"Ames city, Texas",0,0
1600000US4803084,4803084,"Amherst city, Texas",0,0
1600000US4803096,4803096,"Amistad CDP, Texas",0,0
1600000US4803126,4803126,"Anacua CDP, Texas",0,0
1600000US4803144,4803144,"Anahuac city, Texas",0,0
1600000US4803192,4803192,"Anderson city, Texas",0,0
1600000US4803288,4803288,"Angus city, Texas",0,0
1600000US4803340,4803340,"Annetta North town, Texas",0,0
1600000US4803342,4803342,"Annetta South town, Texas",0,0
1600000US4803336,4803336,"Annetta town, Texas",0,0
1600000US4803360,4803360,"Annona town, Texas",0,0
1600000US4803432,4803432,"Anthony town, Texas",0,0
1600000US4803540,4803540,"Anton city, Texas",0,0
1600000US4803564,4803564,"Appleby city, Texas",0,0
1600000US4803588,4803588,"Aquilla city, Texas",0,0
1600000US4803696,4803696,"Archer City city, Texas",0,0
1600000US4803708,4803708,"Arcola city, Texas",0,0
1600000US4803768,4803768,"Argyle city, Texas",0,0
1600000US4804156,4804156,"Arp city, Texas",0,0
1600000US4804174,4804174,"Arroyo Colorado Estates CDP, Texas",0,0
1600000US4804176,4804176,"Arroyo Gardens CDP, Texas",0,0
1600000US4804300,4804300,"Asherton city, Texas",0,0
1600000US4804408,4804408,"Aspermont town, Texas",0,0
1600000US4804462,4804462,"Atascocita CDP, Texas",0,0
1600000US4804600,4804600,"Aubrey city, Texas",0,0
1600000US4804672,4804672,"Aurora city, Texas",0,0
1600000US4805036,4805036,"Austwell city, Texas",0,0
1600000US4805072,4805072,"Avery town, Texas",0,0
1600000US4805084,4805084,"Avinger town, Texas",0,0
1600000US4805520,4805520,"B and E CDP, Texas",0,0
1600000US4805180,4805180,"Bacliff CDP, Texas",0,0
1600000US4805264,4805264,"Bailey city, Texas",0,0
1600000US4805288,4805288,"Bailey's Prairie village, Texas",0,0
1600000US4805336,4805336,"Baird city, Texas",0,0
1600000US4805384,4805384,"Balcones Heights city, Texas",0,0
1600000US4805468,4805468,"Balmorhea city, Texas",0,0
1600000US4805528,4805528,"Bandera city, Texas",0,0
1600000US4805552,4805552,"Bangs city, Texas",0,0
1600000US4805576,4805576,"Banquete CDP, Texas",0,0
1600000US4805612,4805612,"Bardwell city, Texas",0,0
1600000US4805690,4805690,"Barrera CDP, Texas",0,0
1600000US4805696,4805696,"Barrett CDP, Texas",0,0
1600000US4805708,4805708,"Barry city, Texas",0,0
1600000US4805720,4805720,"Barstow city, Texas",0,0
1600000US4805732,4805732,"Bartlett city, Texas",0,0
1600000US4805750,4805750,"Barton Creek CDP, Texas",0,0
1600000US4805768,4805768,"Bartonville town, Texas",0,0
1600000US4805924,4805924,"Batesville CDP, Texas",0,0
1600000US4806060,4806060,"Bayou Vista city, Texas",0,0
1600000US4806104,4806104,"Bayside town, Texas",0,0
1600000US4806140,4806140,"Bayview town, Texas",0,0
1600000US4806200,4806200,"Beach City city, Texas",0,0
1600000US4806242,4806242,"Bear Creek village, Texas",0,0
